Instruction,Opcode,Valid 64-bit,Valid 32-bit,Valid 16-bit,Feature Flags,Operand 1,Operand 2,Operand 3,Operand 4,Tuple Type,Description
"FMUL m32fp","D8 /1","Valid","Valid","Valid","","","","","","","Multiply ST(0) by m32fp and store result in ST(0)."
"FMUL m64fp","DC /1","Valid","Valid","Valid","","","","","","","Multiply ST(0) by m64fp and store result in ST(0)."
"FMUL ST(0), ST(i)","D8 C8+i","Valid","Valid","Valid","","","","","","","Multiply ST(0) by ST(i) and store result in ST(0)."
"FMUL ST(i), ST(0)","DC C8+i","Valid","Valid","Valid","","","","","","","Multiply ST(i) by ST(0) and store result in ST(i)."
"FMULP ST(i), ST(0)","DE C8+i","Valid","Valid","Valid","","","","","","","Multiply ST(i) by ST(0), store result in ST(i), and pop the register stack."
"FMULP","DE C9","Valid","Valid","Valid","","","","","","","Multiply ST(1) by ST(0), store result in ST(1), and pop the register stack."
"FIMUL m32int","DA /1","Valid","Valid","Valid","","","","","","","Multiply ST(0) by m32int and store result in ST(0)."
"FIMUL m16int","DE /1","Valid","Valid","Valid","","","","","","","Multiply ST(0) by m16int and store result in ST(0).FMUL/FMULP/FIMULâ€”Multiply This instructionâ€™s operation is the same in non-64-bit modes and 64-bit mode."
"FNOP","D9 D0","Valid","Valid","Valid","","","","","","","No operation is performed."
"FPATAN","D9 F3","Valid","Valid","Valid","","","","","","","Replace ST(1) with arctan(ST(1)/ST(0)) and pop the register stack."
"FPREM","D9 F8","Valid","Valid","Valid","","","","","","","Replace ST(0) with the remainder obtained from dividing ST(0) by ST(1)."
"FPREM1","D9 F5","Valid","Valid","Valid","","","","","","","Replace ST(0) with the IEEE remainder obtained from dividing ST(0) by ST(1)."
"FPTAN","D9 F2","Valid","Valid","Valid","","","","","","","Replace ST(0) with its approximate tangent and push 1 onto the FPU stack."
"FRNDINT","D9 FC","Valid","Valid","Valid","","","","","","","Round ST(0) to an integer."
"FRSTOR m94/108byte","DD /4","Valid","Valid","Valid","","","","","","","Load FPU state from m94byte or m108byte.FRSTORâ€”Restore x87 FPU State Protected Mode Exceptions #GP(0) If a memory operand effective address is outside the CS, DS, ES, FS, or GS segment limit. If the DS, ES, FS, or GS register is used to access memory and it contains a NULL segment selector. #SS(0) If a memory operand effective address is outside the SS segment limit. #NM CR0.EM[bit 2] or CR0.TS[bit 3] = 1. #PF(fault-code) If a page fault occurs. #AC(0) If alignment checking is enabled and an unaligned memory reference is made while the current privilege level is 3. #UD If the LOCK prefix is used. Real-Address Mode Exceptions #GP If a memory operand effective address is outside the CS, DS, ES, FS, or GS segment limit. #SS If a memory operand effective address is outside the SS segment limit. #NM CR0.EM[bit 2] or CR0.TS[bit 3] = 1. #UD If the LOCK prefix is used. Virtual-8086 Mode Exceptions #GP(0) If a memory operand effective address is outside the CS, DS, ES, FS, or GS segment limit. #SS(0) If a memory operand effective address is outside the SS segment limit. #NM CR0.EM[bit 2] or CR0.TS[bit 3] = 1. #PF(fault-code) If a page fault occurs. #AC(0) If alignment checking is enabled and an unaligned memory reference is made. #UD If the LOCK prefix is used. Compatibility Mode Exceptions Same exceptions as in protected mode. 64-Bit Mode Exceptions #SS(0) If a memory address referencing the SS segment is in a non-canonical form. #GP(0) If the memory address is in a non-canonical form. #NM CR0.EM[bit 2] or CR0.TS[bit 3] = 1. #PF(fault-code) If a page fault occurs. #AC(0) If alignment checking is enabled and an unaligned memory reference is made while the current privilege level is 3. #UD If the LOCK prefix is used."
"FSAVE m94/108byte","9B DD /6","Valid","Valid","Valid","","","","","","","Store FPU state to m94byte or m108byte after checking for pending unmasked floating-point exceptions. Then re-initialize the FPU."
"FNSAVE m94/108byte","DD /6","Valid","Valid","Valid","","","","","","","Store FPU environment to m94byte or m108byte without checking for pending unmasked floating- point exceptions. Then re-initialize the FPU."
"FSCALE","D9 FD","Valid","Valid","Valid","","","","","","","Scale ST(0) by ST(1)."
"FSIN","D9 FE","Valid","Valid","Valid","","","","","","","Replace ST(0) with the approximate of its sine."
"FSINCOS","D9 FB","Valid","Valid","Valid","","","","","","","Compute the sine and cosine of ST(0); replace ST(0) with the approximate sine, and push the approximate cosine onto the register stack."
"FSQRT","D9 FA","Valid","Valid","Valid","","","","","","","Computes square root of ST(0) and stores the result in ST(0)."
"FST m32fp","D9 /2","Valid","Valid","Valid","","","","","","","Copy ST(0) to m32fp."
"FST m64fp","DD /2","Valid","Valid","Valid","","","","","","","Copy ST(0) to m64fp."
"FST ST(i)","DD D0+i","Valid","Valid","Valid","","","","","","","Copy ST(0) to ST(i)."
"FSTP m32fp","D9 /3","Valid","Valid","Valid","","","","","","","Copy ST(0) to m32fp and pop register stack."
"FSTP m64fp","DD /3","Valid","Valid","Valid","","","","","","","Copy ST(0) to m64fp and pop register stack."
"FSTP m80fp","DB /7","Valid","Valid","Valid","","","","","","","Copy ST(0) to m80fp and pop register stack."
"FSTP ST(i)","DD D8+i","Valid","Valid","Valid","","","","","","","Copy ST(0) to ST(i) and pop register stack.FST/FSTPâ€”Store Floating Point Value Floating-Point Exceptions #IS Stack underflow occurred. #IA If destination result is an SNaN value or unsupported format, except when the destination format is in double extended-precision floating-point format. #U Result is too small for the destination format. #O Result is too large for the destination format. #P Value cannot be represented exactly in destination format. Protected Mode Exceptions #GP(0) If the destination is located in a non-writable segment. If a memory operand effective address is outside the CS, DS, ES, FS, or GS segment limit. If the DS, ES, FS, or GS register is used to access memory and it contains a NULL segment selector. #SS(0) If a memory operand effective address is outside the SS segment limit. #NM CR0.EM[bit 2] or CR0.TS[bit 3] = 1. #PF(fault-code) If a page fault occurs. #AC(0) If alignment checking is enabled and an unaligned memory reference is made while the current privilege level is 3. #UD If the LOCK prefix is used. Real-Address Mode Exceptions #GP If a memory operand effective address is outside the CS, DS, ES, FS, or GS segment limit. #SS If a memory operand effective address is outside the SS segment limit. #NM CR0.EM[bit 2] or CR0.TS[bit 3] = 1. #UD If the LOCK prefix is used. Virtual-8086 Mode Exceptions #GP(0) If a memory operand effective address is outside the CS, DS, ES, FS, or GS segment limit. #SS(0) If a memory operand effective address is outside the SS segment limit. #NM CR0.EM[bit 2] or CR0.TS[bit 3] = 1. #PF(fault-code) If a page fault occurs. #AC(0) If alignment checking is enabled and an unaligned memory reference is made. #UD If the LOCK prefix is used. Compatibility Mode Exceptions Same exceptions as in protected mode. 64-Bit Mode Exceptions #SS(0) If a memory address referencing the SS segment is in a non-canonical form. #GP(0) If the memory address is in a non-canonical form. #NM CR0.EM[bit 2] or CR0.TS[bit 3] = 1. #MF If there is a pending x87 FPU exception. #PF(fault-code) If a page fault occurs. #AC(0) If alignment checking is enabled and an unaligned memory reference is made while the current privilege level is 3. #UD If the LOCK prefix is used."
"FSTCW m2byte","9B D9 /7","Valid","Valid","Valid","","","","","","","Store FPU control word to m2byte after checking for pending unmasked floating-point exceptions."
"FNSTCW m2byte","D9 /7","Valid","Valid","Valid","","","","","","","Store FPU control word to m2byte without checking for pending unmasked floating-point exceptions."
"FSTENV m14/28byte","9B D9 /6","Valid","Valid","Valid","","","","","","","Store FPU environment to m14byte or m28byte after checking for pending unmasked floating-point exceptions. Then mask all floating-point exceptions."
"FNSTENV m14/28byte","D9 /6","Valid","Valid","Valid","","","","","","","Store FPU environment to m14byte or m28byte without checking for pending unmasked floating- point exceptions. Then mask all floating- point exceptions."
"FSTSW m2byte","9B DD /7","Valid","Valid","Valid","","","","","","","Store FPU status word at m2byte after checking for pending unmasked floating-point exceptions."
"FSTSW AX","9B DF E0","Valid","Valid","Valid","","","","","","","Store FPU status word in AX register after checking for pending unmasked floating-point exceptions."
"FNSTSW m2byte","DD /7","Valid","Valid","Valid","","","","","","","Store FPU status word at m2byte without checking for pending unmasked floating-point exceptions."
"FNSTSW AX","DF E0","Valid","Valid","Valid","","","","","","","Store FPU status word in AX register without checking for pending unmasked floating-point exceptions."
"FSUB m32fp","D8 /4","Valid","Valid","Valid","","","","","","","Subtract m32fp from ST(0) and store result in ST(0)."
"FSUB m64fp","DC /4","Valid","Valid","Valid","","","","","","","Subtract m64fp from ST(0) and store result in ST(0)."
"FSUB ST(0), ST(i)","D8 E0+i","Valid","Valid","Valid","","","","","","","Subtract ST(i) from ST(0) and store result in ST(0)."
"FSUB ST(i), ST(0)","DC E8+i","Valid","Valid","Valid","","","","","","","Subtract ST(0) from ST(i) and store result in ST(i)."
"FSUBP ST(i), ST(0)","DE E8+i","Valid","Valid","Valid","","","","","","","Subtract ST(0) from ST(i), store result in ST(i), and pop register stack."
"FSUBP","DE E9","Valid","Valid","Valid","","","","","","","Subtract ST(0) from ST(1), store result in ST(1), and pop register stack."
"FISUB m32int","DA /4","Valid","Valid","Valid","","","","","","","Subtract m32int from ST(0) and store result in ST(0)."
"FISUB m16int","DE /4","Valid","Valid","Valid","","","","","","","Subtract m16int from ST(0) and store result in ST(0).FSUB/FSUBP/FISUBâ€”Subtract This instructionâ€™s operation is the same in non-64-bit modes and 64-bit mode."
"FSUBR m32fp","D8 /5","Valid","Valid","Valid","","","","","","","Subtract ST(0) from m32fp and store result in ST(0)."
"FSUBR m64fp","DC /5","Valid","Valid","Valid","","","","","","","Subtract ST(0) from m64fp and store result in ST(0)."
"FSUBR ST(0), ST(i)","D8 E8+i","Valid","Valid","Valid","","","","","","","Subtract ST(0) from ST(i) and store result in ST(0)."
"FSUBR ST(i), ST(0)","DC E0+i","Valid","Valid","Valid","","","","","","","Subtract ST(i) from ST(0) and store result in ST(i)."
"FSUBRP ST(i), ST(0)","DE E0+i","Valid","Valid","Valid","","","","","","","Subtract ST(i) from ST(0), store result in ST(i), and pop register stack."
"FSUBRP","DE E1","Valid","Valid","Valid","","","","","","","Subtract ST(1) from ST(0), store result in ST(1), and pop register stack."
"FISUBR m32int","DA /5","Valid","Valid","Valid","","","","","","","Subtract ST(0) from m32int and store result in ST(0)."
"FISUBR m16int","DE /5","Valid","Valid","Valid","","","","","","","Subtract ST(0) from m16int and store result in ST(0).FSUBR/FSUBRP/FISUBRâ€”Reverse Subtract This instructionâ€™s operation is the same in non-64-bit modes and 64-bit mode."
"FTST","D9 E4","Valid","Valid","Valid","","","","","","","Compare ST(0) with 0.0."
"FUCOM ST(i)","DD E0+i","Valid","Valid","Valid","","","","","","","Compare ST(0) with ST(i)."
"FUCOM","DD E1","Valid","Valid","Valid","","","","","","","Compare ST(0) with ST(1)."
"FUCOMP ST(i)","DD E8+i","Valid","Valid","Valid","","","","","","","Compare ST(0) with ST(i) and pop register stack."
"FUCOMP","DD E9","Valid","Valid","Valid","","","","","","","Compare ST(0) with ST(1) and pop register stack."
"FUCOMPP","DA E9","Valid","Valid","Valid","","","","","","","Compare ST(0) with ST(1) and pop register stack twice."
"FXAM","D9 E5","Valid","Valid","Valid","","","","","","","Classify value or number in ST(0)."
"FXCH ST(i)","D9 C8+i","Valid","Valid","Valid","","","","","","","Exchange the contents of ST(0) and ST(i)."
"FXCH","D9 C9","Valid","Valid","Valid","","","","","","","Exchange the contents of ST(0) and ST(1).FXCHâ€”Exchange Register Contents Compatibility Mode Exceptions Same exceptions as in protected mode. 64-Bit Mode Exceptions Same exceptions as in protected mode."
"FXRSTOR m512byte","NP 0F AE /1","Valid","Valid","Valid","","ModRM:r/m (r)","NA","NA","NA","","Restore the x87 FPU, MMX, XMM, and MXCSR register state from m512byte."
"FXRSTOR64 m512byte","NP REX.W + 0F AE /1","Valid","Invalid","Invalid","","ModRM:r/m (r)","NA","NA","NA","","Restore the x87 FPU, MMX, XMM, and MXCSR register state from m512byte."
"FXSAVE m512byte","NP 0F AE /0","Valid","Valid","Valid","","","","","","","Save the x87 FPU, MMX, XMM, and MXCSR register state to m512byte."
"FXSAVE64 m512byte","NP REX.W + 0F AE /0","Valid","Invalid","Invalid","","","","","","","Save the x87 FPU, MMX, XMM, and MXCSR register state to m512byte."
FXTRACT,D9 F4,Valid,Valid,Valid,,,,,,,"Separate value in ST(0) into exponent and significand, store exponent in ST(0), and push the significand onto the register stack."
"FYL2X","D9 F1","Valid","Valid","Valid","","","","","","","Replace ST(1) with (ST(1) âˆ— log ST(0)) and pop the register stack."
"FYL2XP1","D9 F9","Valid","Valid","Valid","","","","","","","Replace ST(1) with ST(1) âˆ— log (ST(0) + 1.0) and pop the register stack."
"HADDPD xmm1, xmm2/m128","66 0F 7C /r","Valid","Valid","Invalid","SSE3","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Horizontal add packed double-precision floating-point values from xmm2/m128 to xmm1."
"VHADDPD xmm1,xmm2, xmm3/m128","VEX.NDS.128.66.0F.WIG 7C /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Horizontal add packed double-precision floating-point values from xmm2 and xmm3/mem."
"VHADDPD ymm1, ymm2, ymm3/m256","VEX.NDS.256.66.0F.WIG 7C /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Horizontal add packed double-precision floating-point values from ymm2 and ymm3/mem."
"HADDPS xmm1, xmm2/m128","F2 0F 7C /r","Valid","Valid","Invalid","SSE3","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Horizontal add packed single-precision floating-point values from xmm2/m128 to xmm1."
"VHADDPS xmm1, xmm2, xmm3/m128","VEX.NDS.128.F2.0F.WIG 7C /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Horizontal add packed single-precision floating-point values from xmm2 and xmm3/mem."
"VHADDPS ymm1, ymm2, ymm3/m256","VEX.NDS.256.F2.0F.WIG 7C /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Horizontal add packed single-precision floating-point values from ymm2 and ymm3/mem."
"HLT","F4","Valid","Valid","Valid","","NA","NA","NA","NA","","Halt"
"HSUBPD xmm1, xmm2/m128","66 0F 7D /r","Valid","Valid","Invalid","SSE3","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Horizontal subtract packed double-precision floating-point values from xmm2/m128 to xmm1."
"VHSUBPD xmm1,xmm2, xmm3/m128","VEX.NDS.128.66.0F.WIG 7D /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Horizontal subtract packed double-precision floating-point values from xmm2 and xmm3/mem."
"VHSUBPD ymm1, ymm2, ymm3/m256","VEX.NDS.256.66.0F.WIG 7D /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Horizontal subtract packed double-precision floating-point values from ymm2 and ymm3/mem."
"HSUBPS xmm1, xmm2/m128","F2 0F 7D /r","Valid","Valid","Invalid","SSE3","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Horizontal subtract packed single-precision floating-point values from xmm2/m128 to xmm1."
"VHSUBPS xmm1, xmm2, xmm3/m128","VEX.NDS.128.F2.0F.WIG 7D /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Horizontal subtract packed single-precision floating-point values from xmm2 and xmm3/mem."
"VHSUBPS ymm1, ymm2, ymm3/m256","VEX.NDS.256.F2.0F.WIG 7D /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Horizontal subtract packed single-precision floating-point values from ymm2 and ymm3/mem."
"IDIV r/m8","F6 /7","Valid","Valid","Valid","","ModRM:r/m (r)","NA","NA","NA","","Signed divide AX by r/m8, with result stored in: AL â† Quotient, AH â† Remainder."
"IDIV r/m8","REX + F6 /7","Valid","Invalid","Invalid","","ModRM:r/m (r)","NA","NA","NA","","Signed divide AX by r/m8, with result stored in AL â† Quotient, AH â† Remainder."
"IDIV r/m16","F7 /7","Valid","Valid","Valid","","ModRM:r/m (r)","NA","NA","NA","","Signed divide DX:AX by r/m16, with result stored in AX â† Quotient, DX â† Remainder."
"IDIV r/m32","F7 /7","Valid","Valid","Valid","","ModRM:r/m (r)","NA","NA","NA","","Signed divide EDX:EAX by r/m32, with result stored in EAX â† Quotient, EDX â† Remainder."
"IDIV r/m64","REX.W + F7 /7","Valid","Invalid","Invalid","","ModRM:r/m (r)","NA","NA","NA","","Signed divide RDX:RAX by r/m64, with result stored in RAX â† Quotient, RDX â† Remainder."
"IMUL r/m8","F6 /5","Valid","Valid","Valid","","ModRM:r/m (r, w)","NA","NA","NA","","AXâ† AL âˆ— r/m byte."
"IMUL r/m16","F7 /5","Valid","Valid","Valid","","ModRM:r/m (r, w)","NA","NA","NA","","DX:AX â† AX âˆ— r/m word."
"IMUL r/m32","F7 /5","Valid","Valid","Valid","","ModRM:r/m (r, w)","NA","NA","NA","","EDX:EAX â† EAX âˆ— r/m32."
"IMUL r/m64","REX.W + F7 /5","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","NA","NA","NA","","RDX:RAX â† RAX âˆ— r/m64."
"IMUL r16, r/m16","0F AF /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","word register â† word register âˆ— r/m16."
"IMUL r32, r/m32","0F AF /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","doubleword register â† doubleword register âˆ— r/m32."
"IMUL r64, r/m64","REX.W + 0F AF /r","Valid","Invalid","Invalid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Quadword register â† Quadword register âˆ— r/m64."
"IMUL r16, r/m16, imm8","6B /r ib","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","imm8/16/32","NA","","word register â† r/m16 âˆ— sign-extended immediate byte."
"IMUL r32, r/m32, imm8","6B /r ib","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","imm8/16/32","NA","","doubleword register â† r/m32 âˆ— sign- extended immediate byte."
"IMUL r64, r/m64, imm8","REX.W + 6B /r ib","Valid","Invalid","Invalid","","ModRM:reg (r, w)","ModRM:r/m (r)","imm8/16/32","NA","","Quadword register â† r/m64 âˆ— sign-extended immediate byte."
"IMUL r16, r/m16, imm16","69 /r iw","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","imm8/16/32","NA","","word register â† r/m16 âˆ— immediate word."
"IMUL r32, r/m32, imm32","69 /r id","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","imm8/16/32","NA","","doubleword register â† r/m32 âˆ— immediate doubleword."
"IMUL r64, r/m64, imm32","REX.W + 69 /r id","Valid","Invalid","Invalid","","ModRM:reg (r, w)","ModRM:r/m (r)","imm8/16/32","NA","","Quadword register â† r/m64 âˆ— immediate doubleword."
"IN AL, imm8","E4 ib","Valid","Valid","Valid","","","","","","","Input byte from imm8 I/O port address into AL."
"IN AX, imm8","E5 ib","Valid","Valid","Valid","","","","","","","Input word from imm8 I/O port address into AX."
"IN EAX, imm8","E5 ib","Valid","Valid","Valid","","","","","","","Input dword from imm8 I/O port address into EAX."
"IN AL,DX","EC","Valid","Valid","Valid","","","","","","","Input byte from I/O port in DX into AL."
"IN AX,DX","ED","Valid","Valid","Valid","","","","","","","Input word from I/O port in DX into AX."
"IN EAX,DX","ED","Valid","Valid","Valid","","","","","","","Input doubleword from I/O port in DX into EAX."
"INC r/m8","FE /0","Valid","Valid","Valid","","ModRM:r/m (r, w)","NA","NA","NA","","Increment r/m byte by 1."
"INC r/m8","REX + FE /0","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","NA","NA","NA","","Increment r/m byte by 1."
"INC r/m16","FF /0","Valid","Valid","Valid","","ModRM:r/m (r, w)","NA","NA","NA","","Increment r/m word by 1."
"INC r/m32","FF /0","Valid","Valid","Valid","","ModRM:r/m (r, w)","NA","NA","NA","","Increment r/m doubleword by 1."
"INC r/m64","REX.W + FF /0","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","NA","NA","NA","","Increment r/m quadword by 1."
"INC r16","40 +rw","Invalid","Valid","Valid","","opcode +rd (r, w)","NA","NA","NA","","Increment word register by 1."
"INC r32","40 +rd","Invalid","Valid","Valid","","opcode +rd (r, w)","NA","NA","NA","","Increment doubleword register by 1."
"INS m8, DX","6C","Valid","Valid","Valid","","NA","NA","NA","NA","","Input byte from I/O port specified in DX into memory location specified in ES:(E)DI or RDI."
"INS m16, DX","6D","Valid","Valid","Valid","","NA","NA","NA","NA","","Input word from I/O port specified in DX into memory location specified in ES:(E)DI or RDI."
"INS m32, DX","6D","Valid","Valid","Valid","","NA","NA","NA","NA","","Input doubleword from I/O port specified in DX into memory location specified in ES:(E)DI or RDI."
"INSB","6C","Valid","Valid","Valid","","NA","NA","NA","NA","","Input byte from I/O port specified in DX into memory location specified with ES:(E)DI or RDI."
"INSW","6D","Valid","Valid","Valid","","NA","NA","NA","NA","","Input word from I/O port specified in DX into memory location specified in ES:(E)DI or RDI."
"INSD","6D","Valid","Valid","Valid","","NA","NA","NA","NA","","Input doubleword from I/O port specified in DX into memory location specified in ES:(E)DI or RDI."
"INSERTPS xmm1, xmm2/m32, imm8","66 0F 3A 21 /r ib","Valid","Valid","Invalid","SSE4_1","ModRM:reg (r, w)","ModRM:r/m (r)","Imm8","NA","NA","Insert a single-precision floating-point value selected by imm8 from xmm2/m32 into xmm1 at the specified destination element specified by imm8 and zero out destination elements in xmm1 as indicated in imm8."
"VINSERTPS xmm1, xmm2, xmm3/m32, imm8","VEX.NDS.128.66.0F3A.WIG 21 /r ib","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","Imm8","NA","Insert a single-precision floating-point value selected by imm8 from xmm3/m32 and merge with values in xmm2 at the specified destination element specified by imm8 and write out the result and zero out destination elements in xmm1 as indicated in imm8."
"VINSERTPS xmm1, xmm2, xmm3/m32, imm8","EVEX.NDS.128.66.0F3A.W0 21 /r ib","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","Imm8","Tuple1 Scalar","Insert a single-precision floating-point value selected by imm8 from xmm3/m32 and merge with values in xmm2 at the specified destination element specified by imm8 and write out the result and zero out destination elements in xmm1 as indicated in imm8."
"INT 3","CC","Valid","Valid","Valid","","NA","NA","NA","NA","","Interrupt 3â€”trap to debugger. CD ib INT imm8 I Valid Valid Interrupt vector specified by immediate byte."
"INTO","CE","Invalid","Valid","Valid","","NA","NA","NA","NA","","Interrupt 4â€”if overflow flag is 1."
"INVD","0F 08","Valid","Valid","Valid","","NA","NA","NA","NA","","Flush internal caches; initiate flushing of external caches."
"INVLPG m","0F 01/7","Valid","Valid","Valid","","ModRM:r/m (r)","NA","NA","NA","","Invalidate TLB entries for page containing m."
"INVPCID r32, m128","66 0F 38 82 /r","Invalid","Valid","Invalid","INVPCID","ModRM:reg (R)","ModRM:r/m (R)","NA","NA","","Invalidates entries in the TLBs and paging-structure caches based on invalidation type in r32 and descrip-tor in m128."
"INVPCID r64, m128","66 0F 38 82 /r","Valid","Invalid","Invalid","INVPCID","ModRM:reg (R)","ModRM:r/m (R)","NA","NA","","Invalidates entries in the TLBs and paging-structure caches based on invalidation type in r64 and descrip-tor in m128."
"IRET","CF","Valid","Valid","Valid","","NA","NA","NA","NA","","Interrupt return (16-bit operand size)."
"IRETD","CF","Valid","Valid","Valid","","NA","NA","NA","NA","","Interrupt return (32-bit operand size)."
"IRETQ","REX.W + CF","Valid","Invalid","Invalid","","NA","NA","NA","NA","","Interrupt return (64-bit operand size)."
"JA rel8","77 cb","Valid","Valid","Valid","","","","","","","Jump short if above (CF=0 and ZF=0)."
"JAE rel8","73 cb","Valid","Valid","Valid","","","","","","","Jump short if above or equal (CF=0)."
"JB rel8","72 cb","Valid","Valid","Valid","","","","","","","Jump short if below (CF=1)."
"JBE rel8","76 cb","Valid","Valid","Valid","","","","","","","Jump short if below or equal (CF=1 or ZF=1)."
"JC rel8","72 cb","Valid","Valid","Valid","","","","","","","Jump short if carry (CF=1)."
"JCXZ rel8","E3 cb","Invalid","Valid","Valid","","","","","","","Jump short if CX register is 0."
"JECXZ rel8","E3 cb","Valid","Valid","Valid","","","","","","","Jump short if ECX register is 0."
"JRCXZ rel8","E3 cb","Valid","Invalid","Invalid","","","","","","","Jump short if RCX register is 0."
"JE rel8","74 cb","Valid","Valid","Valid","","","","","","","Jump short if equal (ZF=1)."
"JG rel8","7F cb","Valid","Valid","Valid","","","","","","","Jump short if greater (ZF=0 and SF=OF)."
"JGE rel8","7D cb","Valid","Valid","Valid","","","","","","","Jump short if greater or equal (SF=OF)."
"JL rel8","7C cb","Valid","Valid","Valid","","","","","","","Jump short if less (SFâ‰  OF)."
"JLE rel8","7E cb","Valid","Valid","Valid","","","","","","","Jump short if less or equal (ZF=1 or SFâ‰  OF)."
"JNA rel8","76 cb","Valid","Valid","Valid","","","","","","","Jump short if not above (CF=1 or ZF=1)."
"JNAE rel8","72 cb","Valid","Valid","Valid","","","","","","","Jump short if not above or equal (CF=1)."
"JNB rel8","73 cb","Valid","Valid","Valid","","","","","","","Jump short if not below (CF=0)."
"JNBE rel8","77 cb","Valid","Valid","Valid","","","","","","","Jump short if not below or equal (CF=0 and ZF=0)."
"JNC rel8","73 cb","Valid","Valid","Valid","","","","","","","Jump short if not carry (CF=0)."
"JNE rel8","75 cb","Valid","Valid","Valid","","","","","","","Jump short if not equal (ZF=0)."
"JNG rel8","7E cb","Valid","Valid","Valid","","","","","","","Jump short if not greater (ZF=1 or SFâ‰  OF)."
"JNGE rel8","7C cb","Valid","Valid","Valid","","","","","","","Jump short if not greater or equal (SFâ‰  OF)."
"JNL rel8","7D cb","Valid","Valid","Valid","","","","","","","Jump short if not less (SF=OF)."
"JNLE rel8","7F cb","Valid","Valid","Valid","","","","","","","Jump short if not less or equal (ZF=0 and SF=OF)."
"JNO rel8","71 cb","Valid","Valid","Valid","","","","","","","Jump short if not overflow (OF=0)."
"JNP rel8","7B cb","Valid","Valid","Valid","","","","","","","Jump short if not parity (PF=0)."
"JNS rel8","79 cb","Valid","Valid","Valid","","","","","","","Jump short if not sign (SF=0)."
"JNZ rel8","75 cb","Valid","Valid","Valid","","","","","","","Jump short if not zero (ZF=0)."
"JO rel8","70 cb","Valid","Valid","Valid","","","","","","","Jump short if overflow (OF=1)."
"JP rel8","7A cb","Valid","Valid","Valid","","","","","","","Jump short if parity (PF=1)."
"JPE rel8","7A cb","Valid","Valid","Valid","","","","","","","Jump short if parity even (PF=1)."
"JPO rel8","7B cb","Valid","Valid","Valid","","","","","","","Jump short if parity odd (PF=0)."
"JS rel8","78 cb","Valid","Valid","Valid","","","","","","","Jump short if sign (SF=1)."
"JZ rel8","74 cb","Valid","Valid","Valid","","","","","","","Jump short if zero (ZF = 1)."
"JA rel16","0F 87 cw","Invalid","Valid","Valid","","","","","","","Jump near if above (CF=0 and ZF=0). Not supported in 64-bit mode."
"JA rel32","0F 87 cd","Valid","Valid","Valid","","","","","","","Jump near if above (CF=0 and ZF=0)."
"JAE rel16","0F 83 cw","Invalid","Valid","Valid","","","","","","","Jump near if above or equal (CF=0). Not supported in 64-bit mode.Jccâ€”Jump if Condition Is Met"
"JAE rel32","0F 83 cd","Valid","Valid","Valid","","","","","","","Jump near if above or equal (CF=0)."
"JB rel16","0F 82 cw","Invalid","Valid","Valid","","","","","","","Jump near if below (CF=1). Not supported in 64-bit mode."
"JB rel32","0F 82 cd","Valid","Valid","Valid","","","","","","","Jump near if below (CF=1)."
"JBE rel16","0F 86 cw","Invalid","Valid","Valid","","","","","","","Jump near if below or equal (CF=1 or ZF=1). Not supported in 64-bit mode."
"JBE rel32","0F 86 cd","Valid","Valid","Valid","","","","","","","Jump near if below or equal (CF=1 or ZF=1)."
